decile1b,decile3,decile1,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,tier,gender
b'04',b'04',b'05',1.0,34.0,3.8,-0.18,55.0,-0.3,1.0,3.0,-48.0,0.0,4.0,b'male'
b'01',b'01',b'01',3.0,17.5,2.5,-1.53,69.0,-1.65,1.0,3.0,-62.0,0.0,3.0,b'female'
b'09',b'08',b'09',4.0,41.0,3.6,0.9,67.0,0.68,1.0,4.0,-60.0,0.0,5.0,b'female'
b'01',b'02',b'02',3.0,34.0,3.4,-1.28,64.0,-1.03,1.0,2.0,-57.0,0.0,3.0,b'male'
b'07',b'06',b'08',3.0,38.5,3.6,0.56,68.0,0.19,1.0,5.0,-61.0,0.0,3.0,b'male'
b'01',b'01',b'01',1.0,39.5,3.0,-1.75,67.0,-2.47,1.0,4.0,-65.0,0.0,4.0,b'male'
b'02',b'03',b'02',3.0,39.0,2.6,-0.92,68.0,-0.77,1.0,5.0,-61.0,0.0,3.0,b'male'
b'08',b'07',b'08',5.0,44.0,3.6,0.71,68.0,0.39,1.0,4.0,-61.0,0.0,6.0,b'female'
b'04',b'05',b'05',3.0,39.0,2.5,-0.18,68.0,-0.25,1.0,3.0,-61.0,0.0,3.0,b'female'
b'03',b'06',b'03',1.0,42.0,2.5,-0.63,68.0,0.25,1.0,3.0,-61.0,0.0,4.0,b'male'
b'05',b'06',b'05',4.0,36.0,3.4,-0.01,65.0,0.04,1.0,3.0,-58.0,0.0,5.0,b'male'
b'05',b'06',b'05',3.0,31.0,3.2,-0.12,57.0,0.22,1.0,2.0,-50.0,0.0,3.0,b'female'
b'07',b'07',b'07',3.0,36.0,2.9,0.36,48.0,0.46,2.0,3.0,-46.0,1.0,3.0,b'female'
b'03',b'03',b'03',3.0,35.0,3.1,-0.68,57.0,-0.67,1.0,3.0,-50.0,0.0,3.0,b'male'
b'03',b'04',b'03',4.0,42.0,3.5,-0.52,67.0,-0.38,1.0,4.0,-60.0,0.0,5.0,b'female'
b'07',b'06',b'07',1.0,31.0,3.6,0.39,67.0,0.07,1.0,3.0,-60.0,0.0,4.0,b'male'
b'05',b'06',b'05',3.0,33.0,3.4,-0.11,69.0,0.03,1.0,4.0,-62.0,0.0,3.0,b'male'
b'03',b'05',b'04',1.0,36.0,3.8,-0.44,66.0,-0.03,1.0,2.0,-59.0,0.0,4.0,b'male'
b'06',b'07',b'07',1.0,43.0,3.0,0.31,67.0,0.54,1.0,3.0,-60.0,0.0,4.0,b'male'
b'06',b'07',b'06',1.0,34.0,3.8,0.11,67.0,0.31,1.0,3.0,-60.0,0.0,4.0,b'female'
b'01',b'03',b'01',3.0,39.0,3.2,-1.34,69.0,-0.77,1.0,4.0,-62.0,0.0,3.0,b'male'
b'01',b'02',b'01',5.0,40.0,3.1,-1.84,61.0,-1.24,1.0,4.0,-54.0,0.0,6.0,b'male'
b'05',b'03',b'05',1.0,36.0,3.4,0.01,69.0,-0.84,1.0,4.0,-62.0,0.0,4.0,b'female'
b'04',b'04',b'04',5.0,47.0,3.4,-0.33,70.0,-0.42,1.0,5.0,-63.0,0.0,6.0,b'female'
b'02',b'03',b'02',1.0,31.0,3.1,-0.93,63.0,-0.77,1.0,1.0,-56.0,0.0,4.0,b'female'
b'08',b'09',b'09',1.0,35.0,3.5,0.9,67.0,1.05,1.0,4.0,-60.0,0.0,4.0,b'female'
b'06',b'04',b'06',3.0,35.0,3.0,0.17,68.0,-0.31,1.0,3.0,-61.0,0.0,3.0,b'female'
b'07',b'06',b'07',3.0,39.0,4.0,0.49,69.0,0.26,1.0,3.0,-62.0,0.0,3.0,b'female'
b'01',b'01',b'01',2.0,25.0,2.7,-1.49,64.0,-1.46,1.0,3.0,-57.0,0.0,2.0,b'female'
b'10',b'09',b'10',3.0,46.0,3.7,1.58,69.0,1.11,1.0,3.0,-62.0,0.0,3.0,b'female'
b'08',b'06',b'08',3.0,33.0,3.2,0.82,69.0,0.15,1.0,4.0,-62.0,0.0,3.0,b'male'
b'03',b'03',b'03',1.0,45.0,2.9,-0.69,63.0,-0.79,1.0,4.0,-56.0,0.0,4.0,b'female'
b'10',b'09',b'10',1.0,42.0,3.8,1.44,68.0,1.18,1.0,4.0,-61.0,0.0,4.0,b'male'
b'01',b'02',b'01',4.0,28.0,3.0,-1.36,69.0,-0.93,1.0,2.0,-62.0,0.0,5.0,b'male'
b'07',b'06',b'07',3.0,32.0,3.3,0.36,69.0,0.1,1.0,3.0,-62.0,0.0,3.0,b'male'
b'08',b'06',b'08',4.0,45.0,3.9,0.66,70.0,0.09,1.0,4.0,-63.0,0.0,5.0,b'female'
b'01',b'01',b'01',3.0,29.0,2.4,-1.86,65.0,-1.71,1.0,4.0,-58.0,0.0,3.0,b'male'
b'07',b'08',b'07',4.0,36.0,2.9,0.42,59.0,0.66,2.0,4.0,-57.0,1.0,5.0,b'male'
b'10',b'09',b'10',6.0,25.0,3.6,1.73,64.0,0.96,1.0,4.0,-57.0,0.0,1.0,b'female'
b'06',b'08',b'06',1.0,39.0,3.0,0.22,68.0,0.74,1.0,5.0,-61.0,0.0,4.0,b'male'
b'06',b'07',b'07',3.0,35.0,3.2,0.29,67.0,0.29,1.0,3.0,-60.0,0.0,3.0,b'female'
b'01',b'01',b'01',4.0,36.0,3.1,-1.39,66.0,-2.16,1.0,3.0,-59.0,0.0,5.0,b'male'
b'01',b'02',b'01',4.0,42.0,3.7,-1.6,69.0,-1.19,1.0,4.0,-62.0,0.0,5.0,b'male'
b'09',b'09',b'09',3.0,40.0,3.3,1.13,69.0,1.21,1.0,3.0,-62.0,0.0,3.0,b'male'
b'10',b'09',b'10',2.0,32.0,3.2,1.26,61.0,1.17,2.0,4.0,-54.0,1.0,2.0,b'male'
b'01',b'01',b'02',4.0,40.0,3.3,-1.2,68.0,-1.34,1.0,4.0,-61.0,0.0,5.0,b'female'
b'01',b'01',b'01',3.0,40.0,2.5,-1.39,69.0,-1.9,1.0,4.0,-62.0,0.0,3.0,b'male'
b'04',b'04',b'04',3.0,34.0,3.0,-0.36,69.0,-0.41,1.0,4.0,-62.0,0.0,3.0,b'male'
b'08',b'09',b'09',1.0,42.0,3.7,0.89,66.0,0.88,1.0,4.0,-59.0,0.0,4.0,b'male'
b'01',b'01',b'01',1.0,26.0,4.0,-1.68,64.0,-1.72,1.0,2.0,-62.0,0.0,4.0,b'male'
b'04',b'02',b'04',3.0,38.0,2.6,-0.33,61.0,-1.19,1.0,4.0,-59.0,0.0,3.0,b'male'
b'10',b'10',b'10',1.0,42.0,3.1,1.4,68.0,1.32,1.0,4.0,-61.0,0.0,4.0,b'male'
b'05',b'07',b'05',2.0,32.0,2.8,-0.16,68.0,0.48,1.0,4.0,-61.0,0.0,2.0,b'female'
b'04',b'05',b'04',3.0,42.0,2.8,-0.35,56.0,-0.04,1.0,4.0,-49.0,0.0,3.0,b'female'
b'02',b'05',b'03',6.0,37.0,2.7,-0.64,65.0,-0.03,1.0,2.0,-58.0,0.0,1.0,b'female'
b'07',b'06',b'07',1.0,43.0,3.1,0.55,64.0,0.08,1.0,4.0,-62.0,0.0,4.0,b'female'
b'04',b'05',b'04',3.0,37.0,3.4,-0.32,64.0,-0.11,1.0,4.0,-57.0,0.0,3.0,b'female'
b'08',b'09',b'08',1.0,39.5,3.3,0.66,69.0,0.96,1.0,5.0,-62.0,0.0,4.0,b'male'
b'04',b'05',b'04',3.0,37.0,2.5,-0.37,65.0,-0.18,1.0,4.0,-63.0,0.0,3.0,b'male'
b'01',b'01',b'01',4.0,37.0,3.2,-1.69,68.0,-1.55,1.0,2.0,-61.0,0.0,5.0,b'male'
b'05',b'05',b'06',3.0,26.0,2.6,-0.01,68.0,-0.28,1.0,2.0,-61.0,0.0,3.0,b'male'
b'05',b'05',b'05',4.0,43.0,3.7,-0.2,69.0,-0.03,1.0,4.0,-62.0,0.0,5.0,b'male'
b'01',b'01',b'01',4.0,30.0,3.4,-2.03,70.0,-1.75,1.0,5.0,-63.0,0.0,5.0,b'female'
b'10',b'10',b'10',2.0,40.0,3.8,1.73,70.0,1.63,1.0,3.0,-63.0,0.0,2.0,b'male'
b'01',b'01',b'02',1.0,36.0,3.7,-1.18,38.0,-1.93,1.0,2.0,-31.0,0.0,4.0,b'female'
b'06',b'06',b'06',1.0,40.0,3.7,0.29,68.0,0.02,1.0,2.0,-61.0,0.0,4.0,b'female'
b'01',b'02',b'01',2.0,31.5,3.0,-1.5,67.0,-1.09,1.0,2.0,-60.0,0.0,2.0,b'female'
b'05',b'06',b'05',2.0,32.0,3.0,-0.09,66.0,0.06,1.0,4.0,-59.0,0.0,2.0,b'male'
b'04',b'06',b'04',3.0,45.0,3.8,-0.29,60.0,0.08,1.0,2.0,-53.0,0.0,3.0,b'male'
b'02',b'03',b'03',1.0,37.0,2.9,-0.76,60.0,-0.74,2.0,3.0,-53.0,1.0,4.0,b'male'
b'03',b'02',b'03',3.0,35.5,3.2,-0.67,69.0,-1.05,1.0,3.0,-62.0,0.0,3.0,b'male'
b'09',b'08',b'09',4.0,42.0,3.5,0.88,68.0,0.82,1.0,3.0,-61.0,0.0,5.0,b'male'
b'04',b'03',b'05',6.0,29.0,2.5,-0.25,64.0,-0.72,1.0,3.0,-62.0,0.0,1.0,b'female'
b'04',b'03',b'04',3.0,36.0,3.2,-0.39,67.0,-0.71,1.0,4.0,-60.0,0.0,3.0,b'male'
b'04',b'05',b'04',3.0,35.5,2.6,-0.35,65.0,-0.13,1.0,4.0,-58.0,0.0,3.0,b'male'
b'01',b'01',b'01',3.0,34.0,3.5,-1.99,41.0,-1.92,1.0,1.0,-39.0,0.0,3.0,b'male'
b'02',b'02',b'03',3.0,32.5,3.4,-0.75,69.0,-1.25,1.0,2.0,-62.0,0.0,3.0,b'male'
b'07',b'08',b'07',3.0,35.0,3.2,0.46,68.0,0.61,1.0,3.0,-61.0,0.0,3.0,b'male'
b'08',b'07',b'08',1.0,42.0,2.8,0.72,66.0,0.35,1.0,4.0,-64.0,0.0,4.0,b'male'
b'03',b'07',b'03',3.0,35.0,2.9,-0.64,69.0,0.3,1.0,2.0,-62.0,0.0,3.0,b'female'
b'02',b'01',b'02',4.0,30.0,3.9,-1.12,53.0,-1.45,2.0,3.0,-46.0,1.0,5.0,b'female'
b'04',b'02',b'04',5.0,41.0,3.2,-0.47,69.0,-1.16,1.0,4.0,-62.0,0.0,6.0,b'female'
b'03',b'01',b'03',4.0,41.0,3.3,-0.75,69.0,-1.54,1.0,5.0,-67.0,0.0,5.0,b'female'
b'08',b'08',b'08',5.0,38.0,3.2,0.94,67.0,0.59,1.0,3.0,-60.0,0.0,6.0,b'male'
b'10',b'10',b'10',3.0,43.0,4.0,2.0,65.0,1.87,1.0,2.0,-58.0,0.0,3.0,b'female'
b'10',b'09',b'10',4.0,45.0,3.9,1.75,69.0,1.03,1.0,4.0,-62.0,0.0,5.0,b'female'
b'10',b'10',b'10',1.0,43.0,3.6,1.57,62.0,1.48,1.0,3.0,-55.0,0.0,4.0,b'male'
b'04',b'04',b'04',2.0,29.5,3.4,-0.36,69.0,-0.58,1.0,4.0,-67.0,0.0,2.0,b'male'
b'07',b'09',b'07',3.0,32.0,3.5,0.36,67.0,0.9,1.0,4.0,-60.0,0.0,3.0,b'female'
b'02',b'04',b'02',1.0,36.0,3.0,-0.83,69.0,-0.47,1.0,3.0,-67.0,0.0,4.0,b'male'
b'03',b'03',b'03',4.0,35.0,3.2,-0.67,68.0,-0.62,1.0,3.0,-61.0,0.0,5.0,b'male'
b'10',b'10',b'10',1.0,33.0,3.4,1.65,68.0,1.75,1.0,4.0,-61.0,0.0,4.0,b'female'
b'06',b'08',b'06',4.0,38.0,3.5,0.2,65.0,0.7,2.0,4.0,-58.0,1.0,5.0,b'female'
b'03',b'05',b'03',3.0,36.0,3.8,-0.64,66.0,-0.24,1.0,3.0,-64.0,0.0,3.0,b'male'
b'03',b'04',b'04',3.0,29.0,3.3,-0.44,68.0,-0.31,1.0,4.0,-61.0,0.0,3.0,b'female'
b'09',b'09',b'10',3.0,44.0,2.3,1.26,62.0,1.15,1.0,4.0,-60.0,0.0,3.0,b'male'
b'07',b'06',b'07',4.0,39.0,2.9,0.49,68.0,0.2,1.0,5.0,-61.0,0.0,5.0,b'male'
b'01',b'01',b'01',3.0,33.0,2.5,-1.6,68.0,-1.37,1.0,3.0,-61.0,0.0,3.0,b'female'
b'10',b'02',b'10',4.0,40.0,3.2,2.15,63.0,-0.86,1.0,5.0,-56.0,0.0,5.0,b'female'
b'08',b'08',b'08',1.0,44.0,3.1,0.64,60.0,0.56,1.0,4.0,-58.0,0.0,4.0,b'male'
b'04',b'04',b'04',4.0,37.0,3.7,-0.26,69.0,-0.36,1.0,4.0,-62.0,0.0,5.0,b'male'
b'01',b'01',b'01',3.0,23.0,2.8,-1.65,69.0,-1.32,1.0,4.0,-62.0,0.0,3.0,b'male'
b'07',b'06',b'07',3.0,38.0,3.3,0.49,69.0,0.06,1.0,3.0,-62.0,0.0,3.0,b'male'
b'06',b'08',b'06',5.0,37.0,3.6,0.32,67.0,0.81,1.0,3.0,-60.0,0.0,6.0,b'male'
b'10',b'05',b'10',5.0,42.0,3.4,2.05,65.0,-0.19,1.0,3.0,-58.0,0.0,6.0,b'male'
b'06',b'06',b'06',2.0,30.5,3.1,0.09,69.0,0.21,1.0,2.0,-62.0,0.0,2.0,b'female'
b'04',b'04',b'05',2.0,27.0,2.5,-0.27,57.0,-0.36,1.0,1.0,-50.0,0.0,2.0,b'female'
b'05',b'07',b'06',6.0,36.0,2.4,0.1,50.0,0.28,1.0,4.0,-43.0,0.0,1.0,b'female'
b'06',b'05',b'07',3.0,37.0,2.8,0.26,68.0,-0.13,1.0,4.0,-66.0,0.0,3.0,b'female'
b'09',b'10',b'09',1.0,33.0,4.0,1.17,70.0,1.4,1.0,5.0,-68.0,0.0,4.0,b'male'
b'03',b'05',b'03',5.0,46.0,3.3,-0.77,63.0,-0.12,1.0,4.0,-56.0,0.0,6.0,b'female'
b'04',b'04',b'04',1.0,38.0,3.3,-0.29,68.0,-0.44,1.0,4.0,-61.0,0.0,4.0,b'female'
b'06',b'07',b'06',4.0,42.0,4.0,0.14,69.0,0.41,1.0,4.0,-62.0,0.0,5.0,b'male'
b'06',b'09',b'07',2.0,28.0,3.2,0.23,59.0,0.98,1.0,4.0,-52.0,0.0,2.0,b'female'
b'05',b'02',b'06',2.0,38.0,2.3,0.04,68.0,-1.12,1.0,5.0,-66.0,0.0,2.0,b'male'
b'09',b'09',b'09',3.0,35.0,3.2,1.26,68.0,0.95,1.0,4.0,-61.0,0.0,3.0,b'male'
b'02',b'02',b'02',3.0,32.0,3.2,-1.01,68.0,-1.24,1.0,4.0,-61.0,0.0,3.0,b'male'
b'08',b'10',b'08',5.0,43.0,4.0,0.83,70.0,1.47,1.0,4.0,-63.0,0.0,6.0,b'female'
b'09',b'09',b'09',3.0,37.0,3.0,1.07,70.0,0.94,1.0,5.0,-63.0,0.0,3.0,b'male'
b'06',b'09',b'06',3.0,41.0,3.4,0.2,68.0,0.95,1.0,4.0,-66.0,0.0,3.0,b'female'
b'04',b'06',b'05',3.0,37.0,3.2,-0.24,67.0,0.11,1.0,4.0,-60.0,0.0,3.0,b'female'
b'07',b'06',b'07',4.0,42.0,3.2,0.34,68.0,0.17,1.0,4.0,-61.0,0.0,5.0,b'male'
b'05',b'05',b'06',3.0,36.0,3.5,-0.01,69.0,-0.07,1.0,4.0,-62.0,0.0,3.0,b'male'
b'07',b'07',b'07',3.0,40.0,2.5,0.48,69.0,0.29,1.0,3.0,-62.0,0.0,3.0,b'male'
b'08',b'09',b'08',4.0,43.0,3.0,0.6,61.0,1.22,1.0,4.0,-54.0,0.0,5.0,b'female'
b'08',b'09',b'09',3.0,35.0,2.8,0.85,61.0,0.98,1.0,4.0,-54.0,0.0,3.0,b'male'
b'06',b'04',b'07',6.0,39.0,1.9,0.35,65.0,-0.53,1.0,3.0,-58.0,0.0,1.0,b'female'
b'02',b'01',b'02',1.0,32.0,2.6,-1.03,68.0,-1.35,1.0,3.0,-61.0,0.0,4.0,b'female'
b'03',b'01',b'03',1.0,36.0,2.4,-0.68,64.0,-1.38,1.0,5.0,-57.0,0.0,4.0,b'male'
b'05',b'05',b'05',3.0,36.0,3.5,-0.16,68.0,-0.05,1.0,3.0,-61.0,0.0,3.0,b'female'
b'07',b'08',b'07',1.0,31.5,2.6,0.5,68.0,0.65,1.0,3.0,-61.0,0.0,4.0,b'female'
b'06',b'08',b'06',3.0,27.0,4.0,0.12,63.0,0.67,1.0,2.0,-61.0,0.0,3.0,b'female'
b'10',b'10',b'10',1.0,42.0,3.1,1.33,65.0,1.39,1.0,4.0,-58.0,0.0,4.0,b'male'
b'10',b'10',b'10',3.0,38.0,3.7,1.69,69.0,1.65,1.0,3.0,-62.0,0.0,3.0,b'female'
b'01',b'01',b'01',3.0,36.0,2.9,-1.77,62.0,-1.9,1.0,4.0,-55.0,0.0,3.0,b'male'
b'06',b'05',b'07',1.0,45.0,2.9,0.31,67.0,-0.08,1.0,5.0,-60.0,0.0,4.0,b'male'
b'07',b'09',b'07',1.0,36.0,3.4,0.37,68.0,1.06,2.0,3.0,-61.0,1.0,4.0,b'female'
b'06',b'07',b'06',1.0,38.0,3.6,0.15,68.0,0.37,1.0,4.0,-61.0,0.0,4.0,b'male'
b'07',b'08',b'07',4.0,39.0,3.5,0.48,67.0,0.62,1.0,4.0,-60.0,0.0,5.0,b'female'
b'03',b'03',b'03',3.0,25.0,3.4,-0.58,69.0,-0.88,1.0,4.0,-62.0,0.0,3.0,b'female'
b'03',b'05',b'03',4.0,42.0,3.2,-0.68,68.0,-0.09,1.0,4.0,-61.0,0.0,5.0,b'female'
b'04',b'04',b'04',4.0,45.0,3.4,-0.45,64.0,-0.42,1.0,5.0,-57.0,0.0,5.0,b'female'
b'10',b'10',b'10',3.0,35.0,3.6,1.78,61.0,1.8,1.0,3.0,-54.0,0.0,3.0,b'female'
b'10',b'10',b'10',3.0,31.0,3.7,2.45,69.0,2.36,1.0,4.0,-62.0,0.0,3.0,b'male'
b'04',b'06',b'04',3.0,38.0,2.9,-0.36,62.0,-0.02,1.0,4.0,-55.0,0.0,3.0,b'male'
b'06',b'07',b'06',4.0,32.5,3.7,0.23,69.0,0.44,1.0,3.0,-62.0,0.0,5.0,b'male'
b'10',b'09',b'10',1.0,33.0,3.8,1.5,70.0,1.09,1.0,3.0,-63.0,0.0,4.0,b'female'
b'10',b'10',b'10',1.0,43.0,3.3,1.73,68.0,1.37,1.0,3.0,-61.0,0.0,4.0,b'male'
b'04',b'03',b'04',1.0,39.0,3.7,-0.39,69.0,-0.67,1.0,3.0,-62.0,0.0,4.0,b'male'
b'04',b'03',b'04',3.0,38.0,3.6,-0.28,69.0,-0.63,1.0,4.0,-62.0,0.0,3.0,b'female'
b'05',b'05',b'05',1.0,36.0,2.9,-0.11,69.0,-0.01,1.0,4.0,-62.0,0.0,4.0,b'female'
b'10',b'09',b'10',5.0,42.0,3.8,1.56,54.0,0.94,1.0,4.0,-47.0,0.0,6.0,b'female'
b'09',b'09',b'09',3.0,38.0,3.5,1.05,68.0,0.97,1.0,4.0,-61.0,0.0,3.0,b'female'
b'10',b'09',b'10',2.0,33.0,2.9,1.62,69.0,1.01,1.0,4.0,-62.0,0.0,2.0,b'male'
b'01',b'01',b'01',4.0,30.5,2.9,-1.39,66.0,-1.5,1.0,4.0,-59.0,0.0,5.0,b'male'
b'05',b'05',b'05',1.0,37.0,3.3,-0.09,69.0,-0.04,1.0,3.0,-62.0,0.0,4.0,b'female'
b'06',b'03',b'06',3.0,35.0,2.6,0.17,67.0,-0.56,1.0,4.0,-60.0,0.0,3.0,b'male'
b'06',b'06',b'07',4.0,45.0,3.7,0.27,69.0,0.15,1.0,4.0,-62.0,0.0,5.0,b'female'
b'09',b'09',b'09',1.0,46.0,3.3,1.27,65.0,1.27,1.0,3.0,-59.0,0.0,4.0,b'female'
b'03',b'01',b'03',2.0,41.0,2.4,-0.59,67.0,-1.38,1.0,2.0,-60.0,0.0,2.0,b'male'
b'08',b'08',b'08',1.0,33.0,3.5,0.84,66.0,0.69,1.0,3.0,-59.0,0.0,4.0,b'male'
b'10',b'10',b'10',4.0,34.0,3.5,1.54,68.0,1.66,1.0,4.0,-61.0,0.0,5.0,b'female'
b'07',b'09',b'07',4.0,43.0,3.7,0.48,68.0,1.05,1.0,5.0,-61.0,0.0,5.0,b'male'
b'01',b'01',b'01',1.0,30.5,2.2,-1.97,57.0,-1.88,1.0,4.0,-50.0,0.0,4.0,b'female'
b'05',b'03',b'05',3.0,31.3,3.5,-0.12,68.0,-0.65,1.0,2.0,-61.0,0.0,3.0,b'female'
b'04',b'04',b'04',4.0,39.0,3.8,-0.27,69.0,-0.42,1.0,2.0,-62.0,0.0,5.0,b'male'
b'04',b'03',b'05',6.0,25.0,2.4,-0.25,64.0,-0.6,1.0,3.0,-57.0,0.0,1.0,b'male'
b'04',b'05',b'05',3.0,33.0,3.5,-0.22,63.0,-0.27,1.0,3.0,-57.0,0.0,3.0,b'male'
b'06',b'04',b'06',4.0,35.5,3.0,0.08,65.0,-0.48,1.0,4.0,-58.0,0.0,5.0,b'male'
b'10',b'09',b'10',3.0,35.0,3.7,1.4,69.0,1.15,1.0,4.0,-62.0,0.0,3.0,b'female'
b'08',b'08',b'09',3.0,36.0,3.1,0.84,69.0,0.84,1.0,4.0,-62.0,0.0,3.0,b'female'
b'02',b'01',b'02',1.0,33.0,3.0,-1.12,66.0,-1.52,1.0,2.0,-59.0,0.0,4.0,b'female'
b'10',b'10',b'10',3.0,42.0,3.5,2.5,52.0,2.05,2.0,4.0,-45.0,1.0,3.0,b'female'
b'08',b'05',b'09',6.0,26.0,2.6,0.89,65.0,-0.14,1.0,4.0,-58.0,0.0,1.0,b'female'
b'09',b'10',b'09',4.0,42.0,3.5,1.13,55.0,1.33,1.0,4.0,-48.0,0.0,5.0,b'male'
b'08',b'08',b'08',1.0,42.0,3.7,0.86,68.0,0.65,1.0,4.0,-61.0,0.0,4.0,b'female'
b'05',b'04',b'05',2.0,36.0,2.9,-0.17,66.0,-0.39,1.0,3.0,-59.0,0.0,2.0,b'female'
b'04',b'02',b'04',1.0,42.0,3.1,-0.4,68.0,-1.12,1.0,4.0,-61.0,0.0,4.0,b'female'
b'09',b'09',b'09',4.0,43.0,2.6,1.11,66.0,1.03,1.0,3.0,-59.0,0.0,5.0,b'male'
b'08',b'10',b'09',3.0,37.0,3.8,0.85,61.0,1.54,1.0,3.0,-54.0,0.0,3.0,b'female'
b'07',b'08',b'07',3.0,39.0,3.2,0.4,68.0,0.71,1.0,4.0,-61.0,0.0,3.0,b'female'
b'08',b'09',b'08',1.0,39.0,3.5,0.84,69.0,1.14,1.0,4.0,-62.0,0.0,4.0,b'female'
b'02',b'03',b'02',4.0,39.0,2.9,-1.06,68.0,-0.6,1.0,4.0,-61.0,0.0,5.0,b'male'
b'05',b'07',b'06',1.0,34.5,3.6,0.08,67.0,0.37,1.0,4.0,-60.0,0.0,4.0,b'female'
b'04',b'05',b'05',3.0,35.0,3.2,-0.17,64.0,-0.06,1.0,2.0,-57.0,0.0,3.0,b'male'
b'06',b'06',b'06',3.0,39.0,3.5,0.17,59.0,0.2,1.0,3.0,-52.0,0.0,3.0,b'male'
b'09',b'10',b'09',3.0,39.0,3.3,1.19,50.0,1.81,1.0,4.0,-48.0,0.0,3.0,b'female'
b'07',b'06',b'07',2.0,37.0,2.2,0.39,57.0,-0.04,1.0,4.0,-50.0,0.0,2.0,b'male'
b'08',b'08',b'08',3.0,39.0,3.5,0.64,64.0,0.85,1.0,5.0,-57.0,0.0,3.0,b'female'
b'06',b'08',b'06',1.0,41.0,2.9,0.28,60.0,0.74,1.0,4.0,-53.0,0.0,4.0,b'male'
b'07',b'09',b'07',3.0,36.0,3.1,0.46,69.0,1.04,1.0,5.0,-62.0,0.0,3.0,b'female'
b'05',b'06',b'05',4.0,30.5,3.7,-0.01,62.0,0.07,1.0,3.0,-55.0,0.0,5.0,b'male'
b'07',b'09',b'07',4.0,36.0,3.2,0.41,65.0,0.87,1.0,3.0,-58.0,0.0,5.0,b'female'
b'07',b'09',b'07',1.0,41.0,3.7,0.57,69.0,1.15,1.0,4.0,-62.0,0.0,4.0,b'female'
b'07',b'07',b'07',1.0,42.0,3.7,0.46,68.0,0.36,1.0,4.0,-61.0,0.0,4.0,b'male'
b'06',b'06',b'06',3.0,39.0,3.3,0.08,66.0,-0.01,1.0,3.0,-64.0,0.0,3.0,b'male'
b'06',b'07',b'06',2.0,29.0,2.6,0.05,68.0,0.52,1.0,4.0,-61.0,0.0,2.0,b'male'
b'05',b'04',b'05',3.0,39.0,3.0,-0.17,67.0,-0.42,1.0,4.0,-60.0,0.0,3.0,b'male'
b'03',b'04',b'03',1.0,42.0,2.9,-0.7,67.0,-0.43,1.0,3.0,-60.0,0.0,4.0,b'female'
b'09',b'09',b'09',2.0,34.0,2.5,0.85,69.0,1.26,1.0,3.0,-62.0,0.0,2.0,b'female'
b'10',b'10',b'10',3.0,41.0,4.0,2.44,69.0,2.2,1.0,4.0,-62.0,0.0,3.0,b'female'
b'10',b'09',b'10',3.0,37.5,3.6,1.5,63.0,1.0,1.0,4.0,-56.0,0.0,3.0,b'male'
b'03',b'04',b'03',3.0,32.0,3.3,-0.66,64.0,-0.37,1.0,4.0,-57.0,0.0,3.0,b'male'
b'07',b'06',b'07',1.0,36.0,3.7,0.43,69.0,0.13,1.0,4.0,-62.0,0.0,4.0,b'male'
b'02',b'01',b'03',1.0,40.0,3.0,-0.77,65.0,-1.64,1.0,3.0,-58.0,0.0,4.0,b'male'
b'08',b'09',b'08',2.0,29.0,3.2,0.58,69.0,1.0,1.0,4.0,-62.0,0.0,2.0,b'male'
b'06',b'04',b'06',4.0,39.0,2.5,0.2,62.0,-0.47,2.0,4.0,-60.0,1.0,5.0,b'male'
b'07',b'07',b'07',1.0,42.0,3.7,0.42,67.0,0.3,1.0,4.0,-60.0,0.0,4.0,b'female'
b'04',b'04',b'05',5.0,41.0,3.7,-0.21,67.0,-0.23,1.0,2.0,-65.0,0.0,6.0,b'male'
b'02',b'01',b'02',5.0,35.5,3.2,-1.06,67.0,-1.68,1.0,4.0,-60.0,0.0,6.0,b'male'
b'03',b'02',b'03',1.0,35.0,3.8,-0.55,68.0,-1.06,1.0,3.0,-66.0,0.0,4.0,b'male'
b'04',b'03',b'05',3.0,39.0,3.2,-0.2,69.0,-0.57,1.0,5.0,-62.0,0.0,3.0,b'female'
b'09',b'10',b'09',2.0,29.0,3.4,1.21,68.0,1.59,1.0,4.0,-61.0,0.0,2.0,b'female'
b'05',b'07',b'06',3.0,33.0,3.2,0.04,43.0,0.37,1.0,3.0,-36.0,0.0,3.0,b'female'
b'05',b'05',b'05',3.0,34.0,3.1,-0.16,61.0,-0.05,2.0,4.0,-54.0,1.0,3.0,b'male'
b'09',b'09',b'09',3.0,34.0,3.1,0.87,56.0,0.93,1.0,3.0,-49.0,0.0,3.0,b'male'
b'02',b'02',b'03',3.0,40.0,2.9,-0.79,61.0,-1.23,1.0,3.0,-54.0,0.0,3.0,b'male'
b'09',b'08',b'09',1.0,37.0,3.8,0.93,69.0,0.85,1.0,4.0,-67.0,0.0,4.0,b'female'
b'05',b'05',b'06',2.0,37.0,2.1,-0.01,65.0,-0.16,1.0,4.0,-63.0,0.0,2.0,b'male'
b'09',b'07',b'09',1.0,39.0,3.0,0.9,65.0,0.32,1.0,4.0,-58.0,0.0,4.0,b'male'
b'01',b'01',b'01',3.0,34.0,3.1,-1.4,65.0,-1.86,2.0,4.0,-63.0,1.0,3.0,b'female'
